Date/heure,moy_Temp[°C],max_Temp[°C],min_Temp[°C],moy_DewPoint[°C],min_DewPoint[°C],moy_SolarRadiation[W/m2],moy_VPD[kPa],min_VPD[kPa],moy_RelativeHumidity[%],max_RelativeHumidity[%],min_RelativeHumidity[%],Somme_Precipitation[mm],moy_WindSpeed[m/s],max_WindSpeed[m/s],max_WindSpeedMax[m/s],moy_WindDirection[deg],dernier_WindDirection[deg],ETP quotidien [mm]
05/08/2022 00:00,24.73,35.08,15.11,12.4,8.8,361,1.9,0.3,51.87,83.3,22.0,0.0,0.5,2.1,4.4,263.5,263.5,2.8
04/08/2022 00:00,25.26,35.79,16.4,14.6,8.0,288,1.73,0.0,59.06,99.54,19.84,0.0,0.6,1.7,5.3,263.5,263.5,5.0
03/08/2022 00:00,28.37,36.71,19.8,12.3,7.4,285,2.56,0.95,38.43,65.76,23.6,0.0,0.7,2.6,5.3,263.5,263.5,5.3
02/08/2022 00:00,32.17,43.43,19.68,0.9,-4.7,296,4.55,1.7,16.44,38.56,5.23,0.0,0.6,2.3,6.6,263.5,263.5,5.3
01/08/2022 00:00,32.3,41.9,21.26,8.7,1.5,290,3.97,1.39,26.68,47.56,9.52,0.0,0.6,2.7,6.7,263.5,263.5,5.5
31/07/2022 00:00,32.29,42.16,20.54,9.5,3.6,279,3.99,1.17,28.06,59.15,10.12,0.0,0.7,2.4,5.0,263.5,263.5,5.5
30/07/2022 00:00,29.11,39.26,19.28,16.5,13.7,288,2.41,0.24,52.26,89.44,23.97,0.0,0.6,1.8,4.4,263.5,263.5,5.4
29/07/2022 00:00,26.27,35.95,16.42,12.6,6.3,292,2.13,0.48,46.37,75.35,26.01,0.0,0.5,2.1,3.8,263.5,263.5,5.0
28/07/2022 00:00,24.32,33.99,14.25,13.6,10.6,300,1.65,0.06,56.91,96.16,26.65,0.0,0.6,2.2,6.6,263.5,263.5,5.1
27/07/2022 00:00,25.67,35.06,17.28,7.9,-2.5,312,2.35,0.84,35.96,66.26,11.89,0.0,0.7,2.7,5.6,263.5,263.5,5.5
26/07/2022 00:00,30.5,38.46,20.93,4.9,0.0,300,3.7,1.52,22.12,40.44,10.36,0.0,0.9,2.9,6.5,263.5,263.5,5.9
25/07/2022 00:00,33.79,41.55,23.83,7.2,4.5,284,4.44,1.9,20.57,35.32,11.0,0.0,0.8,3.1,6.5,263.5,263.5,5.9
24/07/2022 00:00,34.69,43.41,23.58,5.1,-1.8,299,4.92,1.88,18.3,37.49,6.61,0.0,0.9,3.1,5.6,263.5,263.5,6.3
23/07/2022 00:00,33.19,42.66,21.09,6.6,-0.9,308,4.46,1.5,21.99,39.73,6.98,0.0,0.7,2.7,5.3,263.5,263.5,5.8
22/07/2022 00:00,33.07,41.81,22.87,7.3,4.0,285,4.26,1.73,22.37,40.65,10.68,0.0,0.8,4.3,9.4,263.5,263.5,5.7
21/07/2022 00:00,30.45,40.66,19.4,9.7,5.2,214,3.39,1.08,31.02,52.04,12.32,0.0,0.5,3.0,6.6,263.5,263.5,4.4
20/07/2022 00:00,29.13,39.61,18.22,12.7,4.3,302,2.85,0.56,41.45,72.94,11.86,0.0,0.7,2.8,7.8,263.5,263.5,5.7
